actual_category,canonical_category
Physical Intensity/Overwhelm,Physical Intensity/Overwhelm
Physical Need/Hunger,Physical Need/Hunger
Physical/Emotional Turmoil,Physical/Emotional Turmoil
Physical/Sensory Pleasure,Physical/Sensory Pleasure
Physical/Strength,Physical/Strength
Physical/Vigor,Physical/Vigor
Planned/Tactical,Planned/Tactical
Playful Joy/Delight,Playful Joy/Delight
Playful Laughter/Silliness,Playful Laughter/Silliness
Playful/Fanciful,Playful/Fanciful
Playfulness/Energy,Playfulness/Energy
Playfulness/Frivolity,Playfulness/Frivolity
Pleasant/Agreeable,Pleasant/Agreeable
Pleased Recognition/Compliment,Pleased Recognition/Compliment
Pleasure/Satisfaction,Pleasure/Satisfaction
Power/Assertiveness,Power/Assertiveness
Power/Control,Power/Control
Power/Impact,Power/Impact
Powerful/Robust,Powerful/Robust
Powerful/Strong,Powerful/Strong
Powerlessness/Ineffectiveness,Powerlessness/Ineffectiveness
Powerlessness/Vulnerability,Powerlessness/Vulnerability
Preference/Affinity,Preference/Affinity
Pressure/Force,Pressure/Force
Pride/Confidence (Provisional: overlaps with Love/Affection received),Pride/Confidence (Provisional: overlaps with Love/Affection received)
Pride/Futility,Pride/Futility
Protection/Guard,Protection/Guard
Proud/Dignified,Proud/Dignified
Prudence/Wariness,Prudence/Wariness
Purity/Naivety,Purity/Naivety
Pursued/Hunted,Pursued/Hunted
Pursued/Tracked,Pursued/Tracked
Quick Anger/Irritability,Quick Anger/Irritability
Radiance/Vitality,Radiance/Vitality
Rebellion/Resistance,Rebellion/Resistance
Receptive/Available,Receptive/Available
Recognition/Status,Recognition/Status
Redirection/Distraction,Redirection/Distraction
Reduction/Lessening,Reduction/Lessening
Reflection/Thoughtfulness,Reflection/Thoughtfulness
Regret/Apology,Regret/Apology
Regret/Contrition,Regret/Contrition
Rejected/Abandoned,Rejected/Abandoned
Rejected/Uncared,Rejected/Uncared
Rejected/Undesired,Rejected/Undesired
Relating to Physical Intimacy,Relating to Physical Intimacy
Relaxation/Flexibility,Relaxation/Flexibility
Relaxed/Easygoing,Relaxed/Easygoing
Relaxed/Informal,Relaxed/Informal
Release/Liberation,Release/Liberation
Reliance/Attachment,Reliance/Attachment
Reliance/Need,Reliance/Need
Remorse/Self-Reproach,Remorse/Self-Reproach
Renewal/Restoration,Renewal/Restoration
Renewed/Energized,Renewed/Energized
Renewed/Refreshed,Renewed/Refreshed
Reproductive Inability/Barrenness,Reproductive Inability/Barrenness
Requiring Support/Dependent,Requiring Support/Dependent
Resentment/Acrimony,Resentment/Acrimony
Resentment/Harshness,Resentment/Harshness
Resignation/Determinism,Resignation/Determinism
Resilience/Strength,Resilience/Strength
Resolve/Commitment,Resolve/Commitment
Resolved/Established,Resolved/Established
Restlessness/Anxiety,Restlessness/Anxiety
Restlessness/Disconnection,Restlessness/Disconnection
Restlessness/Impatience,Restlessness/Impatience
Restrained/Cautious,Restrained/Cautious
Restrained/Quiet,Restrained/Quiet
Restrained/Restricted,Restrained/Restricted
Restricted/Constrained,Restricted/Constrained
Restriction/Limitation,Restriction/Limitation
Retaliatory/Vindictive,Retaliatory/Vindictive
Revenge/Vindictiveness,Revenge/Vindictiveness
Revulsion/Aversion,Revulsion/Aversion
Revulsion/Distress,Revulsion/Distress
Revulsion/Repulsion,Revulsion/Repulsion
Rich/Prosperous,Rich/Prosperous
Righteous Anger/Outrage,Righteous Anger/Outrage
Righteous/Vindicated,Righteous/Vindicated
Rigid/Inflexible,Rigid/Inflexible
Ruined/Destroyed,Ruined/Destroyed
Sacred/Transcendent,Sacred/Transcendent
Sad/Discontented,Sad/Discontented
Sadness/Dejection,Sadness/Dejection
Sadness/Discontent,Sadness/Discontent
Sadness/Discouragement,Sadness/Discouragement
Sadness/Grief (Provisional: overlaps with Physical discomfort),Sadness/Grief (Provisional: overlaps with Physical discomfort)
Sadness/Grief (Provisional: overlaps with Suffering/Distress),Sadness/Grief (Provisional: overlaps with Suffering/Distress)
Sadness/Melancholy,Sadness/Melancholy
Safety/Stability,Safety/Stability
Satisfaction/Completion,Satisfaction/Completion
Satisfaction/Contentment,Satisfaction/Contentment
Satisfaction/Fulfillment,Satisfaction/Fulfillment
Satisfaction/Peace,Satisfaction/Peace
Satisfaction/Stagnation,Satisfaction/Stagnation
Satisfied/Content,Satisfied/Content
Security/Nurture,Security/Nurture
Self-Assurance/Conviction,Self-Assurance/Conviction
Self-Aware/Embarrassed,Self-Aware/Embarrassed
Self-Centered/Egotistical,Self-Centered/Egotistical
Self-Conscious Humiliation/Guilt,Self-Conscious Humiliation/Guilt
Self-Critical/Uncertain,Self-Critical/Uncertain
Self-Doubt/Vulnerability,Self-Doubt/Vulnerability
Self-Esteem/Dignity,Self-Esteem/Dignity
Self-Hatred/Contempt,Self-Hatred/Contempt
Self-Indulgent Sorrow/Wallowing,Self-Indulgent Sorrow/Wallowing
Self-Judgment/Inadequacy,Self-Judgment/Inadequacy
Self-Positive/Affirming,Self-Positive/Affirming
Self-Praising/Boastful,Self-Praising/Boastful
Self-Satisfied/Complacent,Self-Satisfied/Complacent
Separated/Isolated,Separated/Isolated
Separation/Isolation,Separation/Isolation
Separation/Loneliness,Separation/Loneliness
Serious/Painful,Serious/Painful
Sexual Arousal/Desire,Sexual Arousal/Desire
Sexual Violation/Assault,Sexual Violation/Assault
Sexuality/Desire,Sexuality/Desire
Shame/Degradation,Shame/Degradation
Shame/Dishonor,Shame/Dishonor
Shame/Guilt,Shame/Guilt
Shame/Humiliation,Shame/Humiliation
Shame/Self-Consciousness,Shame/Self-Consciousness
Shame/Social Discomfort,Shame/Social Discomfort
Shaped/Formed,Shaped/Formed
Shock/Bewilderment,Shock/Bewilderment
Shock/Disgust,Shock/Disgust
Shocked/Dazed,Shocked/Dazed
Shocked/Startled,Shocked/Startled
Shocking/Excessive,Shocking/Excessive
Shy/Fearful,Shy/Fearful
Shyness/Fearfulness,Shyness/Fearfulness
Shyness/Lack of Confidence,Shyness/Lack of Confidence
Shyness/Modesty,Shyness/Modesty
Sick to Stomach/Disgusted,Sick to Stomach/Disgusted
Significance/Value,Significance/Value
Silencing/Restriction,Silencing/Restriction
Silent/Peaceful,Silent/Peaceful
Simple/Ordinary,Simple/Ordinary
Sincere Regret/Remorse,Sincere Regret/Remorse
Sincerity/Seriousness,Sincerity/Seriousness
Skeptical/Doubtful,Skeptical/Doubtful
Skepticism/Distrust,Skepticism/Distrust
Skepticism/Mistrust,Skepticism/Mistrust
Skill/Effectiveness,Skill/Effectiveness
Skilled/Prepared,Skilled/Prepared
Slow/Lethargic,Slow/Lethargic
Sociable/Extroverted,Sociable/Extroverted
Social Anxiety/Introversion,Social Anxiety/Introversion
Social Discomfort/Misalignment,Social Discomfort/Misalignment
Social Energy/Outward Focus,Social Energy/Outward Focus
Social Isolation/Detachment,Social Isolation/Detachment
Solace/Relief,Solace/Relief
Solitude/Disconnection,Solitude/Disconnection
Soothed/Calmed,Soothed/Calmed
Sorrow/Catastrophic,Sorrow/Catastrophic
Sorrow/Distress,Sorrow/Distress
Sorrow/Melancholy,Sorrow/Melancholy
Sorrow/Remorse,Sorrow/Remorse
Sorrowful/Melancholic,Sorrowful/Melancholic
Sorrowful/Pitiful,Sorrowful/Pitiful
Spiteful/Vengeful,Spiteful/Vengeful
Spontaneous Action/Rashness,Spontaneous Action/Rashness
Stability/Centeredness,Stability/Centeredness
Stable/Reliable,Stable/Reliable
State of Being Alone/Peaceful Isolation,State of Being Alone/Peaceful Isolation
State of Being Anxious/Agitated,State of Being Anxious/Agitated
State of Being Clear-Headed/Serious,State of Being Clear-Headed/Serious
State of Being Content/Fulfillment,State of Being Content/Fulfillment
State of Being Dark/Grave,State of Being Dark/Grave
State of Being Emotionally Nostalgic/Tender,State of Being Emotionally Nostalgic/Tender
State of Being Gentle/Tender,State of Being Gentle/Tender
State of Being Genuine/Honest,State of Being Genuine/Honest
State of Being Kind/Compassion,State of Being Kind/Compassion
State of Being Modest/Humility,State of Being Modest/Humility
State of Being Needy/Dependency,State of Being Needy/Dependency
State of Being Peaceful/Tranquil,State of Being Peaceful/Tranquil
State of Being Sacred/Transcendent,State of Being Sacred/Transcendent
State of Being Self-Satisfied/Complacent,State of Being Self-Satisfied/Complacent
State of Being Timid/Reserved,State of Being Timid/Reserved
State of Being Unhappy/Sorrow,State of Being Unhappy/Sorrow
State of Cheerfulness/Merriment,State of Cheerfulness/Merriment
State of Good Humor/Cheerfulness,State of Good Humor/Cheerfulness
State of Isolation/Solitude,State of Isolation/Solitude
State of Preference/Enjoyment,State of Preference/Enjoyment
State of Tranquility/Calm,State of Tranquility/Calm
State of Triumphant Joy/Celebration,State of Triumphant Joy/Celebration
Static/Unchanging,Static/Unchanging
Steady/Reliable,Steady/Reliable
Stern/Forbidding,Stern/Forbidding
Stifling/Congested,Stifling/Congested
Stimulated to Anger/Irritated,Stimulated to Anger/Irritated
Stimulating/Challenging,Stimulating/Challenging
Strange/Unusual,Strange/Unusual
Strategy/Analysis,Strategy/Analysis
Strengthened/Supported,Strengthened/Supported
Stress/Rigidity,Stress/Rigidity
Stress/Tightness,Stress/Tightness
Stress/Weight,Stress/Weight
Stressed/Coerced,Stressed/Coerced
Stressed/Rushed,Stressed/Rushed
Strong/Influential,Strong/Influential
Strong/Robust,Strong/Robust
Strong/Sturdy,Strong/Sturdy
Strongly Disgusted/Revolted,Strongly Disgusted/Revolted
Stubborn/Determined,Stubborn/Determined
Stubborn/Irritable,Stubborn/Irritable
Stubbornness/Resistance,Stubbornness/Resistance
Stunned/Emotionally Paralyzed,Stunned/Emotionally Paralyzed
Subdued/Controlled,Subdued/Controlled
Subjugation/Powerlessness,Subjugation/Powerlessness
Submission/Conformity,Submission/Conformity
Sudden Overwhelming Fear/Terror,Sudden Overwhelming Fear/Terror
Suddenly Overwhelmed by Love/Infatuated,Suddenly Overwhelmed by Love/Infatuated
Suddenly Surprised/Shocked,Suddenly Surprised/Shocked
Suffering from Unrequited Love/Longing,Suffering from Unrequited Love/Longing
Suffering/Anguish,Suffering/Anguish
Suffering/Distress,Suffering/Distress
Suffering/Wretchedness,Suffering/Wretchedness
Sullen/Gloomy,Sullen/Gloomy
Supportive/Motivating,Supportive/Motivating
Suppressed/Constrained,Suppressed/Constrained
Surliness/Irritability,Surliness/Irritability
Surprise/Shock,Surprise/Shock
Surprise/Trauma,Surprise/Trauma
Surprise/Wonder,Surprise/Wonder
Surprised/Startled,Surprised/Startled
Suspicion/Distrust,Suspicion/Distrust
Suspicion/Uncertainty,Suspicion/Uncertainty
Tediously Repetitive/Dull,Tediously Repetitive/Dull
Tendency/Inclination,Tendency/Inclination
Tender Affection/Touching,Tender Affection/Touching
Tense/Anxious,Tense/Anxious
Tension/Nervousness,Tension/Nervousness
Tension/Pressure,Tension/Pressure
Terrible/Dreadful,Terrible/Dreadful
Terror/Revulsion,Terror/Revulsion
Terror/Shock,Terror/Shock
Threat Response/Anxiety,Threat Response/Anxiety
Threatened/In Danger,Threatened/In Danger
Torn/Damaged,Torn/Damaged
Traffic-Related Anger/Fury,Traffic-Related Anger/Fury
Tranquility/Peace,Tranquility/Peace
Tranquility/Serenity,Tranquility/Serenity
Transcendent Bliss/Enlightenment,Transcendent Bliss/Enlightenment
Transgressed/Abused,Transgressed/Abused
Trauma/Damage,Trauma/Damage
Travel-longing/Restless,Travel-longing/Restless
Treasured/Appreciated,Treasured/Appreciated
Trembling/Shaking with Fear,Trembling/Shaking with Fear
Triumphantly Joyful/Exuberant,Triumphantly Joyful/Exuberant
Trivial/Small-minded,Trivial/Small-minded
Trust Violation/Hurt,Trust Violation/Hurt
Unable to Move/Act,Unable to Move/Act
Unable to Speak/Stunned,Unable to Speak/Stunned
Unaffected/Indifferent,Unaffected/Indifferent
Unbreakable/Absolute,Unbreakable/Absolute
Uncertainty/Doubt,Uncertainty/Doubt
Uncertainty/Hesitation,Uncertainty/Hesitation
Uncertainty/Reluctance,Uncertainty/Reluctance
Uncertainty/Skepticism,Uncertainty/Skepticism
Uncertainty/Vulnerability,Uncertainty/Vulnerability
Unconventional/Eccentric,Unconventional/Eccentric
Undermined/Destroyed,Undermined/Destroyed
Understanding/Compassion,Understanding/Compassion
Undeserving/Inadequate,Undeserving/Inadequate
Unexpected/Astonishing,Unexpected/Astonishing
Unfulfillment/Discontent,Unfulfillment/Discontent
Unimportant/Trivial,Unimportant/Trivial
Unique/Exceptional,Unique/Exceptional
Unknown/Strange,Unknown/Strange
Unlucky/Regrettable,Unlucky/Regrettable
Unmet Expectations/Letdown,Unmet Expectations/Letdown
Unpleasant/Disagreeable,Unpleasant/Disagreeable
Unpleasant/Repulsive,Unpleasant/Repulsive
Unpredictability/Whim,Unpredictability/Whim
Unready/Caught-off-guard,Unready/Caught-off-guard
Unrecognized/Undervalued,Unrecognized/Undervalued
Unseen/Unnoticed,Unseen/Unnoticed
Unstable/Disturbed,Unstable/Disturbed
Unsteady/Volatile,Unsteady/Volatile
Unwilling to Accept/Prejudiced,Unwilling to Accept/Prejudiced
Urgency/Restlessness,Urgency/Restlessness
Utilized/Employed,Utilized/Employed
Valueless/Inadequate,Valueless/Inadequate
Very Angry/Extremely Irritated,Very Angry/Extremely Irritated
Victorious/Celebratory,Victorious/Celebratory
Victory/Achievement,Victory/Achievement
Victory/Domination,Victory/Domination
Vitality/Energy,Vitality/Energy
Vitality/Vigor,Vitality/Vigor
Void/Depletion,Void/Depletion
Vulnerability/Delicacy,Vulnerability/Delicacy
Vulnerability/Openness,Vulnerability/Openness
Warmth/Friendliness,Warmth/Friendliness
Warmth/Sociability,Warmth/Sociability
Watchful/Alert,Watchful/Alert
Wealthy/Abundant,Wealthy/Abundant
Weariness/Exhaustion,Weariness/Exhaustion
Well-being/Satisfaction,Well-being/Satisfaction
Well-liked/Accepted,Well-liked/Accepted
Wellness/Vitality,Wellness/Vitality
Wistful/Ethereal,Wistful/Ethereal
Without Direction/Confused,Without Direction/Confused
Without Life/Vitality,Without Life/Vitality
Wonder-filled/Amazed,Wonder-filled/Amazed
Wonder/Astonishment,Wonder/Astonishment
Wonder/Reverence,Wonder/Reverence
Wonderful/Amazing,Wonderful/Amazing
Worry/Care,Worry/Care
Worthless/Ineffective,Worthless/Ineffective
Worthy of Love/Endearing,Worthy of Love/Endearing
Yearning/Nostalgic,Yearning/Nostalgic
Yielding/Compliant,Yielding/Compliant
Yielding/Surrender,Yielding/Surrender
